[CONFIG] distributed init (local rank 2)
[CONFIG] Let's use 4 GPUs!
115495 queries in the dataset
5732 queries in the dataset
load initial weights!
None
epoch: 1
train_file: trainstreetlearnU_cmu5kU
val_file: hudsonriver5kU
distributed: True
val_distributed: False
syncBN: False
use_amp: False
share: True
seed: 1
port: 12364
feat_dim: 4096
margin: 0.07
optimizer: SAM
wd: 0.03
epochs: 60
lr: 0.0001
scheduler: CosineAnnealingLR
pre_model_name: resnetsafa_dgcnn_asam_2to3_up
num_layers: 1
num_heads: 8
seq_len: 10
model_type: transmixer_mask
w: 5
pool: avg_pool
max_masked: 9
special_mask: False
rank: 0
world_size: 4
gpu: 0
device: cuda:0
dist_backend: nccl
dist_url: env://
log: True

115495 queries in the dataset
5732 queries in the dataset
Using 8 dataloader workers every process
Model device: cuda:0
Model name: model_20240105_0136
Number of model parameters: 5255168
load initial weights!
Epoch[1-1]	loss: 0.0929	total loss: 0.0929
Epoch[1-2]	loss: 0.0781	total loss: 0.0781
Epoch[1-3]	loss: 0.0568	total loss: 0.0568
Epoch[1-4]	loss: 0.0518	total loss: 0.0518
Epoch[1-5]	loss: 0.0858	total loss: 0.0858
Epoch[1-6]	loss: 0.0368	total loss: 0.0368
Epoch[1-7]	loss: 0.0324	total loss: 0.0324
Epoch[1-8]	loss: 0.0405	total loss: 0.0405
Epoch[1-9]	loss: 0.0231	total loss: 0.0231
Epoch[1-10]	loss: 0.0222	total loss: 0.0222
Epoch[1-11]	loss: 0.0256	total loss: 0.0256
Epoch[1-12]	loss: 0.0332	total loss: 0.0332
Epoch[1-13]	loss: 0.0438	total loss: 0.0438
Epoch[1-14]	loss: 0.0241	total loss: 0.0241
Epoch[1-15]	loss: 0.0247	total loss: 0.0247
Epoch[1-16]	loss: 0.0190	total loss: 0.0190
Epoch[1-17]	loss: 0.0345	total loss: 0.0345
Epoch[1-18]	loss: 0.0157	total loss: 0.0157
Epoch[1-19]	loss: 0.0112	total loss: 0.0112
Epoch[1-20]	loss: 0.0261	total loss: 0.0261
